time,open,high,low,close,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,NQ1! · CME: open,NQ1! · CME: high,NQ1! · CME: low,NQ1! · CME: close
2025-03-12T13:35:00-04:00,19893.25,19900.25,19892,19897,0,0,0,0,0,0,0,19687.25,19694.25,19686,19691
2025-03-12T13:36:00-04:00,19897.75,19909.5,19897.75,19904.25,0,0,0,0,0,0,0,19691.75,19703.5,19691.75,19698.25
2025-03-12T13:37:00-04:00,19904.5,19909.25,19899.25,19904.75,0,0,0,0,0,0,0,19698.5,19703.25,19693.25,19698.75
2025-03-12T13:38:00-04:00,19905,19905,19877,19885,0,0,0,0,0,0,0,19699,19699,19671,19679
2025-03-12T13:39:00-04:00,19885.75,19894.75,19875.25,19880.5,0,0,0,0,0,0,0,19679.75,19688.75,19669.25,19674.5
2025-03-12T13:40:00-04:00,19879.75,19896,19877.75,19887.5,0,0,0,0,0,0,0,19673.75,19690,19671.75,19681.5
2025-03-12T13:41:00-04:00,19888,19891.25,19871.75,19880.5,0,0,0,0,0,0,0,19682,19685.25,19665.75,19674.5
2025-03-12T13:42:00-04:00,19879.25,19891.75,19874.25,19886,0,0,0,0,0,0,0,19673.25,19685.75,19668.25,19680
2025-03-12T13:43:00-04:00,19888,19892,19884,19885.5,0,0,0,0,0,0,0,19682,19686,19678,19679.5
2025-03-12T13:44:00-04:00,19884.75,19886.25,19861.75,19864.25,0,0,0,0,0,0,0,19678.75,19680.25,19655.75,19658.25
2025-03-12T13:45:00-04:00,19864,19886.75,19856.75,19883.75,0,0,0,0,0,0,0,19658,19680.75,19650.75,19677.75
2025-03-12T13:46:00-04:00,19884.25,19890.25,19877.75,19887,0,0,0,0,0,0,0,19678.25,19684.25,19671.75,19681
2025-03-12T13:47:00-04:00,19887.75,19890.5,19871.75,19876,0,0,0,0,0,0,0,19681.75,19684.5,19665.75,19670
2025-03-12T13:48:00-04:00,19876.5,19884.75,19873.75,19876,0,0,0,0,0,0,0,19670.5,19678.75,19667.75,19670
2025-03-12T13:49:00-04:00,19875.5,19878,19846.25,19850.5,0,0,0,0,0,0,0,19669.5,19672,19640.25,19644.5
2025-03-12T13:50:00-04:00,19850.75,19853.5,19832,19848,0,0,0,0,0,0,0,19644.75,19647.5,19626,19642
2025-03-12T13:51:00-04:00,19848,19857,19845.5,19851,0,0,0,0,0,0,0,19642,19651,19639.5,19645
2025-03-12T13:52:00-04:00,19850.25,19852,19837,19837,0,0,0,0,0,0,0,19644.25,19646,19631,19631
2025-03-12T13:53:00-04:00,19837.75,19843,19821.5,19824.5,0,0,0,0,0,0,0,19631.75,19637,19615.5,19618.5
2025-03-12T13:54:00-04:00,19825.75,19826.75,19798,19807.25,0,0,0,0,0,0,0,19619.75,19620.75,19592,19601.25
2025-03-12T13:55:00-04:00,19806,19809,19787.5,19788.75,0,0,0,0,0,0,0,19600,19603,19581.5,19582.75
2025-03-12T13:56:00-04:00,19788,19793.25,19752.5,19765.25,0,0,0,0,0,0,0,19582,19587.25,19546.5,19559.25
2025-03-12T13:57:00-04:00,19765,19770.75,19752.5,19764,0,0,0,0,0,0,0,19559,19564.75,19546.5,19558
2025-03-12T13:58:00-04:00,19763.75,19768,19750,19758.75,0,0,0,0,0,0,0,19557.75,19562,19544,19552.75
2025-03-12T13:59:00-04:00,19759.75,19766,19741.5,19745.5,0,0,0,0,0,0,0,19553.75,19560,19535.5,19539.5
2025-03-12T14:00:00-04:00,19746.25,19777.5,19737.25,19771.75,0,0,0,0,0,0,0,19540.25,19571.5,19531.25,19565.75
2025-03-12T14:01:00-04:00,19771,19795,19770.75,19793.75,0,0,0,0,0,0,0,19565,19589,19564.75,19587.75
2025-03-12T14:02:00-04:00,19794.75,19813.25,19790.25,19798.5,0,0,0,0,0,0,0,19588.75,19607.25,19584.25,19592.5
2025-03-12T14:03:00-04:00,19799,19803.5,19783,19787,0,0,0,0,0,0,0,19593,19597.5,19577,19581
2025-03-12T14:04:00-04:00,19787,19787.5,19775,19783,0,0,0,0,0,0,0,19581,19581.5,19569,19577
2025-03-12T14:05:00-04:00,19782.25,19786.5,19769.25,19782.25,0,0,0,0,0,0,0,19576.25,19580.5,19563.25,19576.25
2025-03-12T14:06:00-04:00,19782.25,19782.5,19758.25,19761.5,0,0,0,0,0,0,0,19576.25,19576.5,19552.25,19555.5
2025-03-12T14:07:00-04:00,19762.25,19767.25,19752.25,19761.75,0,0,0,0,0,0,0,19556.25,19561.25,19546.25,19555.75
2025-03-12T14:08:00-04:00,19763,19773,19760.25,19765.75,0,0,0,0,0,0,0,19557,19567,19554.25,19559.75
2025-03-12T14:09:00-04:00,19766.25,19772.5,19759.25,19766.5,0,0,0,0,0,0,0,19560.25,19566.5,19553.25,19560.5
2025-03-12T14:10:00-04:00,19766.25,19794.75,19766.25,19792.25,0,0,0,0,0,0,0,19560.25,19588.75,19560.25,19586.25
2025-03-12T14:11:00-04:00,19791,19810.75,19788,19791.25,0,0,0,0,0,0,0,19585,19604.75,19582,19585.25
2025-03-12T14:12:00-04:00,19790.75,19798,19783.75,19792.75,0,0,0,0,0,0,0,19584.75,19592,19577.75,19586.75
2025-03-12T14:13:00-04:00,19790.25,19811.25,19788.75,19804,0,0,0,0,0,0,0,19584.25,19605.25,19582.75,19598
2025-03-12T14:14:00-04:00,19805,19815,19797,19808.75,0,0,0,0,0,0,0,19599,19609,19591,19602.75
2025-03-12T14:15:00-04:00,19809,19819.75,19803.5,19810.5,0,0,0,0,0,0,0,19603,19613.75,19597.5,19604.5
2025-03-12T14:16:00-04:00,19810.5,19819,19801,19804,0,0,0,0,0,0,0,19604.5,19613,19595,19598
2025-03-12T14:17:00-04:00,19802.25,19818.5,19799.5,19809.25,0,0,0,0,0,0,0,19596.25,19612.5,19593.5,19603.25
2025-03-12T14:18:00-04:00,19810.5,19823.25,19810.5,19819,0,0,0,0,0,0,0,19604.5,19617.25,19604.5,19613
2025-03-12T14:19:00-04:00,19819.25,19826.75,19813.25,19824.75,0,0,0,0,0,0,0,19613.25,19620.75,19607.25,19618.75
2025-03-12T14:20:00-04:00,19824,19840.25,19823,19835.75,0,0,0,0,0,0,0,19618,19634.25,19617,19629.75
2025-03-12T14:21:00-04:00,19836.5,19838.75,19812.25,19815.75,0,0,0,0,0,0,0,19630.5,19632.75,19606.25,19609.75
2025-03-12T14:22:00-04:00,19816.25,19829.5,19815.5,19816.25,0,0,0,0,0,0,0,19610.25,19623.5,19609.5,19610.25
2025-03-12T14:23:00-04:00,19816.25,19817.75,19797,19799,0,0,0,0,0,0,0,19610.25,19611.75,19591,19593
2025-03-12T14:24:00-04:00,19800.5,19820.75,19797.75,19815.75,0,0,0,0,0,0,0,19594.5,19614.75,19591.75,19609.75
2025-03-12T14:25:00-04:00,19818,19826.5,19811,19814,0,0,0,0,0,0,0,19612,19620.5,19605,19608
2025-03-12T14:26:00-04:00,19816,19823.75,19808.25,19814.75,0,0,0,0,0,0,0,19610,19617.75,19602.25,19608.75
2025-03-12T14:27:00-04:00,19815.5,19832,19812.5,19828.5,0,0,0,0,0,0,0,19609.5,19626,19606.5,19622.5
2025-03-12T14:28:00-04:00,19829.25,19845.25,19826.75,19841.5,0,0,0,0,0,0,0,19623.25,19639.25,19620.75,19635.5
2025-03-12T14:29:00-04:00,19841,19847.5,19839,19846,0,0,0,0,0,0,0,19635,19641.5,19633,19640
2025-03-12T14:30:00-04:00,19847,19853.5,19839.25,19845.25,0,0,0,0,0,0,0,19641,19647.5,19633.25,19639.25
2025-03-12T14:31:00-04:00,19845,19846.5,19828,19833.25,0,0,0,0,0,0,0,19639,19640.5,19622,19627.25
2025-03-12T14:32:00-04:00,19832.75,19841.75,19827,19837.75,0,0,0,0,0,0,0,19626.75,19635.75,19621,19631.75
2025-03-12T14:33:00-04:00,19836.5,19856,19835.25,19855.25,0,0,0,0,0,0,0,19630.5,19650,19629.25,19649.25
2025-03-12T14:34:00-04:00,19855.5,19859.25,19844.5,19855.75,0,0,0,0,0,0,0,19649.5,19653.25,19638.5,19649.75
2025-03-12T14:35:00-04:00,19854.25,19859,19840,19840,0,0,0,0,0,0,0,19648.25,19653,19634,19634
2025-03-12T14:36:00-04:00,19840,19850,19832.25,19843.5,0,0,0,0,0,0,0,19634,19644,19626.25,19637.5
2025-03-12T14:37:00-04:00,19843.5,19857.25,19841.25,19853.5,0,0,0,0,0,0,0,19637.5,19651.25,19635.25,19647.5
2025-03-12T14:38:00-04:00,19853.75,19854,19843.5,19847.5,0,0,0,0,0,0,0,19647.75,19648,19637.5,19641.5
2025-03-12T14:39:00-04:00,19847.25,19857.5,19840.75,19855.5,0,0,0,0,0,0,0,19641.25,19651.5,19634.75,19649.5
2025-03-12T14:40:00-04:00,19856,19863.5,19851.25,19860.25,0,0,0,0,0,0,0,19650,19657.5,19645.25,19654.25
2025-03-12T14:41:00-04:00,19860.75,19872.5,19859.5,19869.5,0,0,0,0,0,0,0,19654.75,19666.5,19653.5,19663.5
2025-03-12T14:42:00-04:00,19869.5,19878.75,19866.25,19869.25,0,0,0,0,0,0,0,19663.5,19672.75,19660.25,19663.25
2025-03-12T14:43:00-04:00,19869.25,19881,19868.5,19880.25,0,0,0,0,0,0,0,19663.25,19675,19662.5,19674.25
2025-03-12T14:44:00-04:00,19879.5,19884.5,19878.75,19881.5,0,0,0,0,0,0,0,19673.5,19678.5,19672.75,19675.5
2025-03-12T14:45:00-04:00,19882.5,19884,19875.25,19879.75,0,0,0,0,0,0,0,19676.5,19678,19669.25,19673.75
2025-03-12T14:46:00-04:00,19881.5,19893.75,19879,19882,0,0,0,0,0,0,0,19675.5,19687.75,19673,19676
2025-03-12T14:47:00-04:00,19880.5,19898.25,19879.25,19895.75,0,0,0,0,0,0,0,19674.5,19692.25,19673.25,19689.75
2025-03-12T14:48:00-04:00,19896,19910.5,19894.25,19910.25,0,0,0,0,0,0,0,19690,19704.5,19688.25,19704.25
2025-03-12T14:49:00-04:00,19910,19912.25,19900.5,19903.25,0,0,0,0,0,0,0,19704,19706.25,19694.5,19697.25
2025-03-12T14:50:00-04:00,19902.5,19903.75,19883.25,19885,0,0,0,0,0,0,0,19696.5,19697.75,19677.25,19679
2025-03-12T14:51:00-04:00,19884,19889.25,19880.25,19882.25,0,0,0,0,0,0,0,19678,19683.25,19674.25,19676.25
2025-03-12T14:52:00-04:00,19882,19891,19882,19887.5,0,0,0,0,0,0,0,19676,19685,19676,19681.5
2025-03-12T14:53:00-04:00,19888.5,19888.5,19857.75,19863,0,0,0,0,0,0,0,19682.5,19682.5,19651.75,19657
2025-03-12T14:54:00-04:00,19863.75,19875.5,19862.75,19872.75,0,0,0,0,0,0,0,19657.75,19669.5,19656.75,19666.75
2025-03-12T14:55:00-04:00,19872.25,19872.25,19844.25,19848,0,0,0,0,0,0,0,19666.25,19666.25,19638.25,19642
2025-03-12T14:56:00-04:00,19848.25,19870,19845.75,19869.75,0,0,0,0,0,0,0,19642.25,19664,19639.75,19663.75
2025-03-12T14:57:00-04:00,19869.75,19888.75,19869.75,19888,0,0,0,0,0,0,0,19663.75,19682.75,19663.75,19682
2025-03-12T14:58:00-04:00,19888.5,19894,19875.25,19876.25,0,0,0,0,0,0,0,19682.5,19688,19669.25,19670.25
